     table_name      | column_count |                                                                                                                                                                                                                                                                  columns                                                                                                                                                                                                                                                                   
---------------------+--------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Announcements       |           10 | id, priority, title, text, mediaPath, mediaName, companyId, status, createdAt, updatedAt
 Baileys             |            6 | id, whatsappId, contacts, chats, createdAt, updatedAt
 BaileysChats        |            6 | id, whatsappId, jid, conversationtimestamp, createdAt, updatedAt
 BaileysMessages     |            7 | id, whatsappId, jid, messageId, content, createdAt, updatedAt
 CampaignSettings    |            7 | id, key, value, campaignId, companyId, createdAt, updatedAt
 CampaignShipping    |           15 | id, jobId, number, message, confirmationMessage, confirmation, contactId, campaignId, confirmationRequestedAt, confirmedAt, deliveredAt, createdAt, updatedAt, companyId, ticketId
 Campaigns           |           27 | id, name, message1, message2, message3, message4, message5, confirmationmessage1, confirmationmessage2, confirmationmessage3, confirmationmessage4, confirmationmessage5, status, confirmation, mediaPath, mediaName, scheduledAt, completedAt, companyId, contactListId, whatsappId, fileListId, tagId, delay, createdAt, updatedAt, openTicket
 ChatMessages        |            8 | id, chatId, senderId, message, createdAt, updatedAt, mediaPath, mediaName
 ChatUsers           |            6 | id, chatId, userId, createdAt, updatedAt, unreads
 Chats               |            8 | id, uuid, title, ownerId, lastMessage, companyId, createdAt, updatedAt
 Companies           |           15 | id, name, status, createdAt, updatedAt, planId, dueDate, recurrence, document, email, phone, address, language, hostname, schedules
 ContactCustomFields |            6 | id, name, value, contactId, createdAt, updatedAt
 ContactListItems    |            9 | id, name, number, email, contactListId, isWhatsappValid, createdAt, updatedAt, companyId
 ContactLists        |            5 | id, name, companyId, createdAt, updatedAt
 Contacts            |           23 | id, name, number, profilePicUrl, createdAt, updatedAt, email, companyId, isGroup, acceptAudioMessage, active, channel, lastMessageAt, pushname, whatsappId, disableBot, presence, presenceUpdatedAt, remoteJid, urlPicture, pictureUpdatedAt, lgpdacceptedat, pictureUrl
 Files               |            6 | id, name, message, companyId, createdAt, updatedAt
 FilesOptions        |            7 | id, fileId, name, path, mediaType, createdAt, updatedAt
 FlowAudios          |            6 | id, name, url, companyId, createdAt, updatedAt
 FlowBuilders        |            8 | id, name, flow, companyId, createdAt, updatedAt, status, variables
 FlowCampaigns       |            9 | id, name, phrase, status, whatsappId, flowId, companyId, createdAt, updatedAt
